epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25508,1.22297,3.51134,0.95538,0.01818,0.84507,0.03292,0.02398,0.91999,3.25704,0.85018,0.0001,0.0001,0.0001
2,15.7756,0.90551,3.06129,0.8971,0.01939,0.90141,0.0374,0.02522,0.95498,3.21644,0.83912,0.000215644,0.000215644,0.000215644
3,23.3735,1.11131,2.80881,0.87693,0.01939,0.90141,0.05872,0.03686,1.01809,3.15722,0.85753,0.000326536,0.000326536,0.000326536
4,30.5806,0.94676,2.19406,0.83213,0.01939,0.90141,0.05872,0.03686,1.01809,3.15722,0.85753,0.000432676,0.000432676,0.000432676
5,37.8413,0.88076,1.64946,0.85549,0.01939,0.90141,0.26912,0.16572,1.1336,3.05057,0.89303,0.000534064,0.000534064,0.000534064
6,45.4514,1.01366,1.52193,0.86737,0.01939,0.90141,0.26912,0.16572,1.1336,3.05057,0.89303,0.0006307,0.0006307,0.0006307
7,53.1412,1.00954,1.04963,0.86328,1,0.35699,0.84043,0.50243,1.16262,2.4115,0.90358,0.000722584,0.000722584,0.000722584
8,60.8207,0.98867,1.01026,0.84379,1,0.35699,0.84043,0.50243,1.16262,2.4115,0.90358,0.000809716,0.000809716,0.000809716
9,68.269,0.95295,1.09654,0.88853,0.9488,0.78312,0.85989,0.50718,1.10534,1.3573,0.92024,0.000892096,0.000892096,0.000892096
10,77.0515,0.78741,1.48118,0.83196,0.9488,0.78312,0.85989,0.50718,1.10534,1.3573,0.92024,0.000969724,0.000969724,0.000969724
11,86.6154,0.95586,1.15287,0.84087,0.9488,0.78312,0.85989,0.50718,1.10534,1.3573,0.92024,0.0010426,0.0010426,0.0010426
12,94.4345,0.91143,1.03278,0.87545,0.9488,0.78312,0.85989,0.50718,1.10534,1.3573,0.92024,0.00111072,0.00111072,0.00111072
13,101.667,0.95653,1.49909,0.86577,0.9488,0.78312,0.85989,0.50718,1.10534,1.3573,0.92024,0.0011741,0.0011741,0.0011741
14,109.147,0.95228,1.33392,0.82948,0.99396,0.71831,0.86654,0.61346,0.97375,1.17687,0.92966,0.00123272,0.00123272,0.00123272
15,116.459,0.9724,1.26514,0.88474,0.99396,0.71831,0.86654,0.61346,0.97375,1.17687,0.92966,0.00128658,0.00128658,0.00128658
16,124.202,1.03568,1.16597,0.8717,0.99396,0.71831,0.86654,0.61346,0.97375,1.17687,0.92966,0.0013357,0.0013357,0.0013357
17,133.113,0.98149,1.07991,0.86611,0.99396,0.71831,0.86654,0.61346,0.97375,1.17687,0.92966,0.0013664,0.0013664,0.0013664
18,141.59,1.00631,1.30135,0.86707,0.99396,0.71831,0.86654,0.61346,0.97375,1.17687,0.92966,0.0013268,0.0013268,0.0013268
19,149.485,0.90963,1.18912,0.86143,0.96984,0.73239,0.84548,0.4893,1.24786,2.6144,0.99004,0.0012872,0.0012872,0.0012872
20,157.15,0.95706,1.10454,0.87564,0.96984,0.73239,0.84548,0.4893,1.24786,2.6144,0.99004,0.0012476,0.0012476,0.0012476
21,164.592,0.92503,1.25425,0.86419,0.96984,0.73239,0.84548,0.4893,1.24786,2.6144,0.99004,0.001208,0.001208,0.001208
22,172.119,0.94699,1.05074,0.85564,0.96984,0.73239,0.84548,0.4893,1.24786,2.6144,0.99004,0.0011684,0.0011684,0.0011684
23,179.622,0.92872,1.26704,0.84118,0.96984,0.73239,0.84548,0.4893,1.24786,2.6144,0.99004,0.0011288,0.0011288,0.0011288
24,187.018,0.99372,1.42279,0.90586,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.0010892,0.0010892,0.0010892
25,195.771,0.91073,1.04526,0.86845,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.0010496,0.0010496,0.0010496
26,206.005,0.91061,1.51384,0.87909,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.00101,0.00101,0.00101
27,213.919,0.80758,1.24188,0.84647,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.0009704,0.0009704,0.0009704
28,221.66,0.8297,1.17405,0.86756,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.0009308,0.0009308,0.0009308
29,229.48,0.87897,1.05107,0.84061,0.95923,0.73239,0.84256,0.53116,1.05373,2.24034,0.94517,0.0008912,0.0008912,0.0008912
30,237.201,0.72268,0.889,0.82934,0.99311,0.73239,0.85234,0.61331,0.88426,1.61911,0.90747,0.0008516,0.0008516,0.0008516
31,244.653,0.8159,1.00704,0.8405,0.99311,0.73239,0.85234,0.61331,0.88426,1.61911,0.90747,0.000812,0.000812,0.000812
32,252.495,0.79658,1.00753,0.83584,0.99311,0.73239,0.85234,0.61331,0.88426,1.61911,0.90747,0.0007724,0.0007724,0.0007724
33,260.426,0.80222,0.93826,0.81928,0.99311,0.73239,0.85234,0.61331,0.88426,1.61911,0.90747,0.0007328,0.0007328,0.0007328
34,269.216,0.84849,1.07789,0.86472,0.99311,0.73239,0.85234,0.61331,0.88426,1.61911,0.90747,0.0006932,0.0006932,0.0006932
35,277.854,0.67964,0.96285,0.83737,0.99626,0.74648,0.87326,0.61395,0.89519,1.21458,0.8945,0.0006536,0.0006536,0.0006536
